Timestamp,Asal Instansi,Jenis kelamin,Fakultas/sekolah asal,Prodi asal,Semester kuliah bagi mahasiswa aktif ketika mengikuti Program GIKnowledge Building (di semester ganjil tahun ajaran 2025/2026)?,Jenjang pendidikan asal,Dari mana kamu mengetahui informasi terkait Program GIKnowledge Building?,Apa yang membuatmu tertarik mengikuti GIKnowledge Building?
2025-07-08 16:06:29,Universitas Gadjah Mada,Laki-Laki,FARMASI,S1 Farmasi,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Prodi/Fakultas","Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-19 22:01:47,Universitas Gadjah Mada,Perempuan,EKONOMIKA DAN BISNIS,S1 Manajemen,Semester 5,Akademik (Sarjana/S1),Prodi/Fakultas,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-07-20 22:12:53,Universitas Gadjah Mada,Perempuan,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S2 Ilmu Komputer,N/A,Akademik (Pascasarjana/S2),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-13 14:17:29,Universitas Gadjah Mada,Perempuan,BIOLOGI,S1 Biologi,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Website GIK UGM, Teman, Prodi/Fakultas","Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-02 16:29:23,Universitas Gadjah Mada,Perempuan,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Ilmu Komputer,Semester 7,Akademik (Sarjana/S1),Email UGM,Saya tertarik setelah membaca email pengumuman GIKnowledge Building melalui email UGM
2025-07-13 20:32:19,Universitas Gadjah Mada,Perempuan,ILMU BUDAYA,S1 Sastra Arab,Semester 7,Akademik (Sarjana/S1),Website GIK UGM,Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days
2025-06-13 21:05:29,Universitas Gadjah Mada,Perempuan,GEOGRAFI,S1 Kartografi dan Penginderaan Jauh,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-20 21:07:37,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Teknologi Rekayasa Internet,Semester 7,Vokasi (Sarjana Terapan/D4),"Instagram GIK UGM, Prodi/Fakultas","Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas"
2025-07-16 18:57:23,Universitas Gadjah Mada,Perempuan,PETERNAKAN,S1 Ilmu dan Industri Peternakan,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Teman, orang tua","Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-06-26 22:29:19,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Manajemen dan Penilaian Properti,N/A,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,Saya tertarik setelah mendengarkan sosialisasi
2025-07-04 14:06:13,UGM,Perempuan,TEKNIK,S1 Teknik Kimia,N/A,Akademik (Sarjana/S1),Email Humas UGM,"Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas"
2025-07-04 22:51:42,Universitas Gadjah Mada,Perempuan,TEKNIK,S2 Teknik Geologi,N/A,Akademik (Pascasarjana/S2),Instagram GIK UGM,"Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-19 22:25:07,Universitas Gadjah Mada,Perempuan,HUKUM,S1 Hukum,Semester 5,Akademik (Sarjana/S1),Info session,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days"
2025-07-08 20:17:24,Universitas Gadjah Mada,Laki-Laki,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Kimia,Semester 7,Akademik (Sarjana/S1),"Instagram GIK UGM, Teman, Prodi/Fakultas","Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-13 23:25:19,Universitas Gadjah Mada,Perempuan,ILMU BUDAYA,S1 Sastra Arab,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Prodi/Fakultas","Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-20 22:50:15,UPN Yogyakarta,Perempuan,PERTANIAN,S1 Penyuluhan dan Komunikasi Pertanian,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Teman","Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik dengan manfaat yang ditawarkan, maka saya mendaftar dan berkomitmen menyelesaikan sampai akhir"
2025-06-13 14:12:35,Universitas Gadjah Mada,Perempuan,ILMU BUDAYA,S1 Sastra Jepang,Semester 7,Akademik (Sarjana/S1),Ditmawa UGM,"Saya tertarik dengan pengalaman, ilmu, dan manfaat yang ditawarkan oleh GIKnowledge Building 2025"
2025-06-30 20:11:04,Universitas Gadjah Mada,Perempuan,PERTANIAN,S1 Ekonomi Pertanian dan Agribisnis,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Prodi/Fakultas","Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-04 22:36:25,Universitas Gadjah Mada,Laki-Laki,SEKOLAH PASCASARJANA,S2 Kajian Budaya dan Media,Semester 5,Akademik (Pascasarjana/S2),Instagram GIK UGM,"Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-06-25 22:18:49,Universitas Gadjah Mada,Perempuan,TEKNIK,S1 Teknik Fisika,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Simaster UGM","Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-20 20:33:22,Universitas Gadjah Mada,Laki-Laki,PSIKOLOGI,S2 Psikologi Sains,N/A,Akademik (Pascasarjana/S2),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-20 22:53:33,Universitas Gadjah Mada,Perempuan,KEHUTANAN,S1 Kehutanan,Semester 7,Akademik (Sarjana/S1),"Instagram GIK UGM, Website GIK UGM",Saya tertarik setelah saya melihat informasi dari social media GIK
2025-06-19 19:08:23,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Teknologi Veteriner,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-20 17:15:49,Universitas Gadjah Mada,Laki-Laki,EKONOMIKA DAN BISNIS,S1 Master of Business Administration,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah mendengarkan sosialisasi
2025-06-16 15:43:04,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Teknologi Rekayasa Perangkat Lunak,Semester 5,Vokasi (Sarjana Terapan/D4),"Instagram GIK UGM, Website GIK UGM","Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 21:21:32,Universitas Gadjah Mada,Perempuan,TEKNIK,S1 Teknik Mesin,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-18 22:55:57,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Bahasa Inggris,Semester 7,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building
2025-07-20 23:12:23,Universitas Gadjah Mada,Perempuan,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Statistika,Semester 7,Akademik (Sarjana/S1),"Instagram GIK UGM, Website GIK UGM",Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-20 23:16:06,Universitas Gadjah Mada,Laki-Laki,BIOLOGI,S1 Biologi,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Prodi/Fakultas","Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-15 1:49:34,Universitas Gadjah Mada,Perempuan,EKONOMIKA DAN BISNIS,S1 Ilmu Ekonomi,Semester 9,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days
2025-07-16 21:42:28,Universitas Gadjah Mada,Perempuan,PERTANIAN,S1 Ilmu Tanah,Semester 7,Akademik (Sarjana/S1),DITMAWA,"Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-20 15:26:34,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Pengelolaan Hutan,Semester 5,Vokasi (Sarjana Terapan/D4),"Instagram GIK UGM, Teman","Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-20 22:38:53,Universitas Gadjah Mada,Perempuan,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Kimia,Semester 5,Akademik (Sarjana/S1),Prodi/Fakultas,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-06-28 10:03:06,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Pembangunan Ekonomi Kewilayahan,Semester 7,Vokasi (Sarjana Terapan/D4),Teman,Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024
2025-07-20 20:57:18,Universitas Gadjah Mada,Perempuan,EKONOMIKA DAN BISNIS,Ilmu Ekonomj,N/A,Alumni UGM,Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-15 14:49:42,Universitas Gadjah Mada,Laki-Laki,TEKNOLOGI PERTANIAN,S1 Teknologi Industri Pertanian,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Prodi/Fakultas","Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-20 18:42:05,Universitas Ahmad Dachlan,Perempuan,PSIKOLOGI,S1 Psikologi,Semester 7,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-20 20:22:18,Universitas Gadjah Mada,Perempuan,ILMU BUDAYA,S1 Sastra Arab,Semester 5,Akademik (Sarjana/S1),"Teman, Prodi/Fakultas","Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-06-26 10:45:20,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Akuntansi Sektor Publik,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-06-19 19:15:31,Universitas Gadjah Mada,Laki-Laki,TEKNIK,S1 Teknik Fisika,N/A,Akademik (Sarjana/S1),Prodi/Fakultas,"Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 19:42:17,Universitas Gadjah Mada,Laki-Laki,EKONOMIKA DAN BISNIS,S1 Ilmu Ekonomi,Semester 5,Akademik (Sarjana/S1),Email,Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days
2025-07-18 20:13:31,Universitas Gadjah Mada,Laki-Laki,EKONOMIKA DAN BISNIS,S1 Ilmu Ekonomi,Semester 5,Akademik (Sarjana/S1),Email,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 22:23:19,Universitas Gadjah Mada,Perempuan,PETERNAKAN,S1 Ilmu dan industri peternakan,Semester 5,Akademik (Sarjana/S1),Teman,Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024
2025-07-20 23:59:51,Universitas Gadjah Mada,Perempuan,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Fisika,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Prodi/Fakultas","Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-17 12:26:33,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Perbankan,Semester 7,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-17 16:33:31,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Pengembangan Produk Agroindustri,Semester 7,Vokasi (Sarjana Terapan/D4),Ditmawa,Saya tertarik setelah mendengarkan sosialisasi
2025-07-19 10:36:41,Universitas Gadjah Mada,Laki-Laki,ILMU SOSIAL DAN ILMU POLITIK,S1 Politik dan Pemerintahan,Semester 9,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-18 11:15:33,Universitas Gadjah Mada,Perempuan,PSIKOLOGI,S1 Psikologi,Semester 5,Akademik (Sarjana/S1),e-mail UGM,"Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-14 21:09:37,Universitas Gadjah Mada,Perempuan,BIOLOGI,S1 Biologi,Semester 7,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-06-13 14:20:03,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Teknologi Rekayasa Elektro,Semester 5,Vokasi (Sarjana Terapan/D4),"Instagram GIK UGM, ditmawa","saya tertarik dengan program ini yang dishare lewat ditmawa, program yang sangat membantu dalam mempersiapkan di dunia kerja"
2025-07-13 11:28:37,Universitas Gadjah Mada,Perempuan,TEKNIK,S1 Teknik Geodesi,Semester 5,Akademik (Sarjana/S1),Website GIK UGM,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-07-20 22:42:55,Universitas Negeri Yogyakarta,Laki-Laki,BIOLOGI,S1 Biologi,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Prodi/Fakultas",Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days
2025-07-20 14:34:17,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Teknologi Rekayasa Perangkat Lunak,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-15 22:06:00,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Akuntansi Sektor Publik,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,"Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 21:31:10,Universitas Gadjah Mada,Laki-Laki,ILMU SOSIAL DAN ILMU POLITIK,S1 SOSIOLOGI,Semester 7,Akademik (Sarjana/S1),Beasiswa dato low tuck kwong,Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building
2025-07-20 23:10:22,Universitas Gadjah Mada,Perempuan,FILSAFAT,S1 Filsafat,Semester 7,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-15 17:33:25,Universitas Gadjah Mada,Perempuan,PSIKOLOGI,S1 Psikologi,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Prodi/Fakultas",Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days
2025-07-17 15:33:53,Universitas Gadjah Mada,Perempuan,FARMASI,S1 Farmasi,N/A,Akademik (Sarjana/S1),whatsapp,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-07-20 22:49:10,Universitas Gadjah Mada,Laki-Laki,TEKNOLOGI PERTANIAN,Sarjana Teknik Pertanian,N/A,Alumni UGM,DITMAWA UGM,Ingin mengetahui kemungkinan arah kerja yang dapat diperoleh dengan bidang studi saya
2025-06-28 6:54:31,Universitas Gadjah Mada,Perempuan,FARMASI,S1 FARMASI,Semester 5,Akademik (Sarjana/S1),Prodi/Fakultas,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-03 16:48:28,Universitas Ahmad Dachlan,Laki-Laki,FARMASI,S1 Farmasi,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-16 6:08:44,Universitas Gadjah Mada,Perempuan,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,Magister Matematika,N/A,Alumni UGM,Prodi/Fakultas,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-07-14 14:09:28,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Perbankan,Semester 5,Vokasi (Sarjana Terapan/D4),"Instagram GIK UGM, Teman, Prodi/Fakultas","Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-02 17:14:26,Universitas Gadjah Mada,Perempuan,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Ilmu Komputer,Semester 5,Akademik (Sarjana/S1),Email,Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024
2025-07-05 17:45:13,Universitas Gadjah Mada,Perempuan,EKONOMIKA DAN BISNIS,S1 Manajemen,Semester 9,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-16 17:05:02,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Pengembangan Produk Agroindustri,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-09 6:50:16,Universitas Gadjah Mada,Laki-Laki,ILMU SOSIAL DAN ILMU POLITIK,S1 Sosiologi,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Prodi/Fakultas","Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-06-16 17:51:38,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Teknologi Rekayasa Interrnet,Semester 7,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-20 11:15:25,Universitas Gadjah Mada,Perempuan,HUKUM,S1 Hukum,Semester 7,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 12:20:38,Universitas Gadjah Mada,Laki-Laki,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Ilmu Komputer,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah saya melihat informasi dari social media GIK, Saya ingin mengikuti kelas ini dan melakukan projek nyata"
2025-06-26 15:03:02,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Teknologi Rekayasa Elektro,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-19 14:02:58,Universitas Gadjah Mada,Laki-Laki,ILMU SOSIAL DAN ILMU POLITIK,S1 Ilmu Komunikasi,Semester 7,Akademik (Sarjana/S1),Website GIK UGM,Saya tertarik setelah membaca guidebook dan melihat mitra yang berkerjasama di GIKnowledge Building 2025 melalui website resmi UGM.
2025-07-09 12:38:22,UPN Veteran Yogyakarta,Laki-Laki,PERTANIAN,S1 Manajemen Sumber Daya Akuatik,Semester 3,Akademik (Sarjana/S1),Sosialisasi dari beasiswa Jardine oleh GIK UGM,Saya tertarik setelah mendengarkan sosialisasi
